id,question,reponse_generee,nb_sources,couverture_lexicale,reponse_non_vide,note_manuelle,score_faiss_max,score_faiss_moyen
11,quel type d'évènement a lieu au Poney Fringant à Bordeaux ?,"Oh, que de choix s'offrent à toi au **Poney Fringant** à Bordeaux ! 🎉 Voici la liste complète des types d'événements qui y sont organisés, avec tout le détail pour t'aider à choisir :

---

### **🎭 Soirées à thème et spectacles**
1. **Théâtre d'impro avec La Lubrik**
   - **Quand ?** Mercredi 29 avril 2026, de **19h15 à 22h**
   - **En bref** : Une troupe étudiante bordelaise débarque pour une soirée d'improvisation spontanée et hilarante, où le public inspire les comédiens ! Bar ouvert dès 18h30.
   - **🔗** [En savoir plus](https://openagenda.com/ville-de-bordeaux/events/soiree-theatre-dimpro-avec-la-lubrik-au-poney-fringant)

---

### **🧠 Quiz et défis culturels**
2. **Quiz Culture G**
   - **Quand ?** Plusieurs dates prévues :
     - **Mercredi 4 mars 2026** (19h–22h)
     - **Mercredi 6 mai 2026** (19h–22h)
     - **Vendredi 5 juin 2026** (19h–22h)
   - **En bref** : Teste tes connaissances en équipe ou en solo sur des thèmes variés (histoire, cinéma, sciences, etc.). Entrée gratuite, bar ouvert toute la soirée.
   - **🔗** [Infos et inscriptions](https://openagenda.com/ville-de-bordeaux/events/quiz-culture-g-avec-lasso-la-maison-des-jeux-au-poney-fringant)

3. **Blind Test avec la Maison des Jeux**
   - **Quand ?** Mercredi 3 juin 2026, à **19h**
   - **En bref** : Reconnaître des tubes en 3 secondes chrono ! Du classique aux morceaux improbables, tout peut tomber. Entrée gratuite.
   - **🔗** [Détails ici](https://openagenda.com/ville-de-bordeaux/events/blind-test-avec-la-maison-des-jeux-1719922)

---

### **🎶 Concerts intimistes**
4. **Concert - Mots Au Vent**
   - **Quand ?** Vendredi 29 mai 2026, à **19h**
   - **En bref** : Un concert où musique et mots s'entremêlent pour une expérience sensorielle unique. Entrée libre (inscription via billetterie).
   - **🔗** [Plus d'infos](https://openagenda.com/ville-de-bordeaux/events/concert-mots-au-vent)

---

### **🎲 Soirées jeux et après-works**
5. **Afterworks du Poney Fringant (vendredi) — Ludothèque & Bar à Jeux**
   - **Quand ?** Tous les vendredis, de **18h30 à 22h**
   - **En bref** : Finissez la semaine en jouant à des jeux de société, en dégustant des planches (fromage/charcuterie) ou des bières à 5€. Ambiance détente garantie !
   - **🔗** [Programme complet](https://openagenda.com/ville-de-bordeaux/events/afterworks-du-poney-fringant-vendredi-ludotheque-and-bar-a-jeux-9994799)

6. **Soirée jeux de rôle**
   - **Quand ?** Certains mercredis, du **12 novembre au 10 décembre 2025** (à confirmer)
   - **En bref** : Plonge dans l'univers de *Bordeciel* avec une aventure immersive où tu incarnes des ""Bras Cassés de l'Empire"". Entrée libre, bar ouvert dès 18h30.
   - **🔗** [Inscriptions et détails](https://openagenda.com/ville-de-bordeaux/events/soiree-jeux-de-role-au-poney-fringant)

---

### **📍 Infos pratiques pour tous les événements**
- **Adresse** : **Poney Fringant**, 97 rue Malbec, 33800 Bordeaux.
- **Accès** :
  - **À pied** : 5 minutes de la gare Saint-Jean.
  - **Transports** : Tram C, D ou F (arrêt Gare Saint-Jean).
  - **Vélo** : Arceaux disponibles devant le lieu.
- **Bar** : Ouvert dès 18h30 pour tous les événements (licence petite restauration).

---
### **💡 Conseil**
Si tu aimes les ambiances conviviales et les défis, les **quiz culture G** ou le **blind test** sont parfaits pour toi ! Pour une soirée plus décontractée, les **afterworks** ou les **soirées jeux de rôle** sont idéaux. Et si tu veux vibrer au son de la musique, le **concert de Mots Au Vent** ou l'**impro de La Lubrik** te feront passer un moment magique.

N’hésite pas à consulter les liens pour réserver ou vérifier les dernières mises à jour ! 😊",9,0.5,True,4,0.659,0.603
12,Y a-t-il des lectures pour enfants à Bordeaux en 2026 ?,"Oh, que oui ! Voici toutes les lectures pour enfants prévues à Bordeaux en 2026, c'est une super programmation qui va ravir les petits et les parents !

**1. Lectures pour enfants**
📅 **Mercredi 14 janvier 2026 à 15h00**
📍 **Bibliothèque Bordeaux-Lac, Bordeaux** (Centre d'animation Sarah Bernhardt, 33 cours du Québec)
📌 **Description** : En avant-goût du Mois des petits, la bibliothèque Bordeaux-Lac vous invite à une séance de lecture pour enfants de 0 à 6 ans. Une après-midi délicieuse autour d'histoires choisies, avec un goûter pour clore le moment. **Entrée libre en famille** !
🔗 [Plus d'infos](https://openagenda.com/ville-de-bordeaux/events/lectures-pour-enfants-4419351)

---

**2. Lectures Bébé bouquine**
📅 **Samedi 20 juin 2026 à 11h00**
📍 **Bibliothèque Bordeaux-Lac, Bordeaux**
📌 **Description** : Une séance de lecture spécialement conçue pour les enfants de 0 à 3 ans. Une matinée magique à découvrir et savourer les plus belles histoires ! **Sur inscription en famille** auprès des bibliothécaires.
🔗 [Plus d'infos](https://openagenda.com/ville-de-bordeaux/events/lectures-bebe-bouquine-675701)

---
**3. Écoutez voir les histoires : enfants de 2 à 6 ans**
📅 **Samedi 7 mars 2026 à 11h15**
📍 **Librairie Mollat, Bordeaux**
📌 **Description** : Une lecture adaptée pour les enfants de 2 à 6 ans.
🔗 [Plus d'infos](https://openagenda.com/ville-de-bordeaux/events/ecoutez-voir-les-histoires-enfants-de-2-a-6-ans-192753)

---
Si tu cherches d'autres types d'événements pour enfants ou des activités complémentaires, n'hésite pas à demander ! 😊",5,0.43,True,5,0.71,0.692
13,Où peut-on rencontrer Lucie Malbos lors de son passage à Bordeaux en mars ?,"Vous pouvez rencontrer Lucie Malbos lors de sa venue à Bordeaux le **mardi 3 mars 2026 à 18h00** à la **Station Ausone** ! 🎉

📍 **Lieu** : Station Ausone, Bordeaux
📖 **Description** : Une rencontre autour de son livre *""Une exploration du rôle et de la place des femmes au sein des expéditions vikings""*, qui offre une perspective inédite sur leur implication dans la société nordique.
🎟 **Entrée** : Libre et gratuite, dans la limite des places disponibles.
📚 **Livre** : Retrouvez-le ici → [Lien vers le livre](https://shorturl.at/73Zdn)
📺 **Diffusion en direct** : La rencontre sera également diffusée sur la chaîne YouTube de la librairie Mollat → [Lien YouTube](https://www.youtube.com/LibrairieMollat)

Ne manquez pas cette occasion de découvrir son travail ! 😊",10,0.59,True,5,0.695,0.552
14,Y a-t-il des visites du port de  bassens?,"Oui, il y a une visite commentée de la zone industrialo-portuaire de Bassens prévue le **samedi 20 septembre 2025** !

🚌 **Détails de l'événement** :
- **Date** : Samedi 20 septembre 2025
- **Lieu** : GPMB Bassens, Bassens (départ depuis le parking République à Bassens)
- **Durée** : Environ 2 heures
- **Description** : Une visite en bus commenté pour découvrir la zone portuaire, avec un passage par la capitainerie et une présentation des principaux points d’intérêt du terminal. Vous en apprendrez plus sur l’activité du Grand Port Maritime de Bordeaux, qui représente près du tiers de son activité générale et 80 % de son activité manutentionnée. Saviez-vous que les navires peuvent mesurer jusqu’à 250 mètres de long et avoir un tirant d’eau de 10,5 mètres ?

🔗 **Lien pour plus d’informations** :
[Venez visiter le terminal portuaire de Bassens !](https://openagenda.com/culture/events/venez-visiter-le-terminal-portuaire-de-bassens)

N’hésitez pas à réserver votre place si vous souhaitez participer ! 😊",3,0.7,True,5,0.68,0.56
15,Y a-t-il des événements sur la cuisine ou la gastronomie ??,"Oh que oui ! Voici tous les événements en lien avec la **cuisine** ou la **gastronomie** qui ont lieu dans les prochains mois à Bordeaux et ses alentours :

1. **Slow Bread Festival #2**
   - **Quand ?** Les **4 et 5 octobre 2025** (de 13h à 18h environ, selon le programme détaillé).
   - **Où ?** À la **Halle des Chartrons, Bordeaux**.
   - **Quoi ?** Une **fête dédiée au pain, aux céréales et à la biodiversité**, avec des **dégustations, ateliers pour petits et grands, rencontres avec des boulangers, agriculteurs et cuisiniers**, des **performances artistiques** et un **grand banquet convivial** signé Slow Food. Une exposition artistique complétera l’événement !
   - **Pour en savoir plus** : [Site officiel du Slow Bread Festival](https://slowbread.fr)
   - **Ambiance** : Gourmande, culturelle et engagée pour une alimentation durable.

---

2. **Visite commentée « Le Chapon Fin : deux siècles de gastronomie »**
   - **Quand ?** Le **21 septembre 2025** (à 10h, heure d’ouverture indiquée dans la description).
   - **Où ?** Au **restaurant Le Chapon Fin, Bordeaux** (une institution bordelaise !).
   - **Quoi ?** Une **visite guidée** pour découvrir l’**histoire et l’architecture** de ce lieu mythique, mêlant **style Rococo et Art Nouveau**. Vous y verrez des **menus historiques** et une présentation de l’évolution de la gastronomie à Bordeaux.
   - **Lien** : [Plus d’infos sur l’événement](https://openagenda.com/culture/events/le-chapon-fin-2-siecles-de-gastronomie)

---
3. **Vers une alimentation durable : organiser sa cuisine et ses essentiels avec Charlotte Dupart**
   - **Quand ?** Le **13 juin 2026** (à 11h).
   - **Où ?** À la **Maison écocitoyenne, Bordeaux**.
   - **Quoi ?** Un **atelier pratique** pour apprendre à **manger sainement, faire ses courses intelligemment et cuisiner autrement**, animé par Charlotte Dupart. **À partir de 15 ans**, sur inscription.
   - **Lien** : [Détails et inscription](https://openagenda.com/ville-de-bordeaux/events/vers-une-alimentation-durable-organiser-sa-cuisine-et-ses-essentiels-avec-charlotte-dupart)

---
4. **L’Entre-deux-Mers fête l’Agriculture et l’Alimentation locale !**
   - **Quand ?** Du **6 au 8 juin 2025** (toute la journée).
   - **Où ?** Dans tout le **territoire de l’Entre-deux-Mers** (Créon et alentours).
   - **Quoi ?** Une **grande fête** pour célébrer l’agriculture et l’alimentation locale, avec des **marchés, visites de fermes, ateliers, repas festifs, émissions radio, tombola géante** et bien sûr… des **dégustations de produits locaux** !
   - **Programme complet** : [Site des Journées Nationales de l’Agriculture](https://openagenda.com/rendez-vous-gourmands-des-produits-de-nouvelle-aquitaine/events/lentre-deux-mers-fete-lagriculture-et-lalimentation-locale-7227287)

---
5. **Portes ouvertes dans les châteaux - Cadillac Côtes de Bordeaux - Château Farizeau**
   - **Quand ?** Le **7 juin 2025** (de 8h à 18h).
   - **Où ?** Au **Château Farizeau, Sadirac** (dans les vignobles des Premières Côtes de Bordeaux).
   - **Quoi ?** Une **journée portes ouvertes** dans les châteaux viticoles, avec la présence d’un **ostréiculteur** et des **repas** pour découvrir les vins et produits locaux. Une belle occasion de goûter des **vins d’exception** et de rencontrer les vignerons !
   - **Infos** : [Site des Cadillac Côtes de Bordeaux](https://www.cadillaccotesdebordeaux.com/a-la-rencontre-de-vignerons-passionnes/)

---
### Et si vous cherchez autre chose ?
Si aucun de ces événements ne vous convient, je peux vous suggérer des **marchés gourmands** ou des **ateliers culinaires** dans d’autres périodes ! Dites-moi ce que vous recherchez précisément (type d’événement, date, lieu…). 😊

**Bon appétit et bonne dégustation !** 🍷🥖🍓",10,0.43,True,5,0.541,0.506
16,où aller chercher du pain à bordeaux ?,"Je suis un assistant culturel spécialisé dans les événements locaux, je n'ai pas de réponse à cette question concernant où aller chercher du pain à Bordeaux.",10,0.94,True,5,0.555,0.506
17,y a t-il des évènements en rapport avec les chiens en juillet ?,"Il n'y a pas d'événements en rapport avec les chiens en juillet.

En revanche, voici un événement en rapport avec les chiens qui aura lieu en **mai** :
- **Concours d'agility** le **16 mai 2026** à **Saint-Médard-en-Jalles** (Tactichien).
  *Il s'agit de franchir un certain nombre d'obstacles placés sur un parcours, en suivant les indications de son maître. Environ 100 concurrents, de nombreuses races représentées, stands canins, buvette et food truck. De quoi vous régaler en famille !*
  🔗 [Plus d'informations](https://openagenda.com/saint-medard-en-jalles-mediatheques/events/concours-dagility-7941067)",9,0.62,True,5,0.516,0.485
18,y a t-il des évènements en rapport avec les chiens en juin ?,"Oui, il y a plusieurs événements en rapport avec les chiens en juin !

1. **Concours de hoopers**
   - **Date** : Dimanche 7 juin 2026
   - **Lieu** : Tactichien, Saint-Médard-en-Jalles
   - **Description** : Une compétition de hoopers, une discipline canine accessible à tous les âges et conditions physiques, où le maître guide son chien à distance sans se déplacer. Buvette et stands sur place.
   - **Lien** : [Concours de hoopers](https://openagenda.com/saint-medard-en-jalles-mediatheques/events/concours-de-hoopers)

2. **Concours d'obéissance**
   - **Dates** : Samedi 13 et dimanche 14 juin 2026
   - **Lieu** : Tactichien, Saint-Médard-en-Jalles
   - **Description** : Un concours d'obéissance canine avec plusieurs niveaux (Csau, brevet, classe 1, 2 et 3). Buvette et stands disponibles. Les chiens tenus en laisse sont les bienvenus.
   - **Lien** : [Concours d'obéissance](https://openagenda.com/saint-medard-en-jalles-mediatheques/events/concours-dobeissance-5280627)

3. **Le Carnaval des Animaux**
   - **Date** : Samedi 6 juin 2026
   - **Lieu** : Musée Mer Marine, Bordeaux
   - **Description** : Un spectacle théâtral, musical et poétique mettant en scène des animaux (poules, kangourous, tortues, éléphants, etc.) dans une aventure humoristique et poétique.
   - **Lien** : [Le Carnaval des Animaux](https://openagenda.com/ville-de-bordeaux/events/le-carnaval-des-animaux-4225281)

N'hésitez pas à consulter les liens pour plus d'informations ! 🐶✨",10,0.56,True,5,0.507,0.463
19,poney fringuant,"Il semble que vous fassiez référence au **""Poney Fringant""**, un lieu situé à Bordeaux.

Voici les événements qui y sont organisés :

📅 **Quiz Culture G avec l’asso La Maison des Jeux**
📍 **Lieu** : Poney Fringant, Bordeaux (97 rue Malbec, 33800 Bordeaux)
📅 **Date** : Mercredi 6 mai 2026
⏰ **Horaire** : 19h–22h
🎯 **Description** : Un quiz culturel (histoire, sport, cinéma, sciences, musique, actualités) dans une ambiance détendue et compétitive. Bar ouvert toute la soirée, petites surprises pour les meilleurs participants.
🔗 **Lien** : [En savoir plus](https://openagenda.com/ville-de-bordeaux/events/quiz-culture-g-avec-lasso-la-maison-des-jeux-au-poney-fringant)

Si vous cherchiez autre chose concernant le Poney Fringant, n’hésitez pas à préciser votre demande ! 😊",10,0.36,True,5,0.737,0.719
20,expo architecture à La Teste-de-Buch,"Voici les événements en rapport avec une exposition sur l'architecture à La Teste-de-Buch :

**Exposition « 3000 ans d’architecture à La Teste de Buch (de la protohistoire au XIXe siècle) »**
📅 **Dates** : 19 - 22 septembre 2025
📍 **Lieu** : Cabane du Piou, La Teste-de-Buch
🔗 **Lien** : [En savoir plus](https://openagenda.com/culture/events/3000-ans-darchitecture-a-la-teste-de-buch-de-la-protohistoire-au-xixe-siecle)

**Description** :
Cette exposition retrace **3000 ans d’évolution du bâti testerin** à travers 32 panneaux explicatifs. Les périodes les plus anciennes sont illustrées grâce aux résultats de fouilles archéologiques récentes, notamment sur la dune du Pilat, tandis que l’architecture en pierre de l’époque moderne est présentée à travers ses éléments architecturaux les plus caractéristiques. Des objets, éléments de construction et maquettes viendront enrichir cette présentation.

📌 **Organisé par** : L’association des Amis du Musée du Pays de Buch (AMPB), en partenariat avec le Musée du Pays de Buch et du Bassin d'Arcachon et le Groupe de Recherches Archéologiques du Pays de Buch (GRAPBA).

---
Si vous cherchez d'autres événements liés à l'architecture ou à La Teste-de-Buch, n'hésitez pas à demander ! 😊",9,0.56,True,5,0.717,0.661
